Options:
Model:                           Discrete: Dependent
Tree File Name:                  tutorial_tree.nex
Data File Name:                  tutorial_edited_traits_load.tsv
Log File Name:                   tutorial_bayestraits_output_log_dep_load.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1269315673
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      5000000
Burn in:                         1000000
MCMC ML Start:                   False
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Load Model:                      tutorial_bayestraits_output_model_dep.bin
Estimating values for taxa and Sites
	t100                
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Prior Information:
    Prior Categories:            100
    Priors
        q12 - Hyper Prior exp (0.00,1.00) 
        q13 - Hyper Prior exp (0.00,1.00) 
        q21 - Hyper Prior exp (0.00,1.00) 
        q24 - Hyper Prior exp (0.00,1.00) 
        q31 - Hyper Prior exp (0.00,1.00) 
        q34 - Hyper Prior exp (0.00,1.00) 
        q42 - Hyper Prior exp (0.00,1.00) 
        q43 - Hyper Prior exp (0.00,1.00) 
Tree Information
     Trees:                      1
     Taxa:                       500
     Sites:                      1
     States:                     4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Model No	q12	q13	q21	q24	q31	q34	q42	q43	Est t100 - 2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	q12 - Mean	q13 - Mean	q21 - Mean	q24 - Mean	q31 - Mean	q34 - Mean	q42 - Mean	q43 - Mean	
1000000	-470.391461	1	2519	0.537357	0.000000	0.537357	0.537357	0.537357	0.537357	0.537357	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.758811	0.630718	0.971900	0.805913	0.865822	0.966240	0.147005	0.696135	
1001000	-471.240313	1	1970	0.439861	0.000000	0.439861	0.439861	0.439861	0.439861	0.439861	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.643292	0.704484	0.448510	0.285932	0.225334	0.678844	0.550011	0.231530	
1002000	-467.005728	1	1508	0.615843	0.000000	0.615843	0.615843	0.359538	0.359538	0.615843	0.000000	1	0.000001	0.000001	0.999998	0.000001	0.183689	0.921495	0.617080	0.220531	0.654432	0.702252	0.431645	0.487609	
1003000	-470.200392	1	1714	0.495050	0.000000	0.495050	0.495050	0.495050	0.495050	0.495050	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.839197	0.776310	0.955108	0.315762	0.392156	0.168365	0.227363	0.909791	
1004000	-470.597032	1	1576	0.463060	0.000000	0.463060	0.463060	0.463060	0.463060	0.463060	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.695531	0.991257	0.487287	0.696862	0.928466	0.538420	0.484190	0.923918	
1005000	-470.257284	1	3678	0.486347	0.000000	0.486347	0.486347	0.486347	0.486347	0.486347	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.608910	0.200465	0.925432	0.185983	0.285977	0.928830	0.944581	0.618475	
1006000	-470.250476	1	191	0.523604	0.000000	0.523604	0.523604	0.523604	0.523604	0.523604	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.990244	0.029773	0.035682	0.839913	0.800988	0.351099	0.311806	0.946081	
1007000	-470.312261	1	1230	0.530493	0.000000	0.530493	0.530493	0.530493	0.530493	0.530493	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.673338	0.076744	0.485531	0.509308	0.448835	0.623597	0.594354	0.569848	
1008000	-470.305199	1	2867	0.529797	0.000000	0.529797	0.529797	0.529797	0.529797	0.529797	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.821410	0.393498	0.433279	0.269200	0.017936	0.872282	0.312987	0.624814	
1009000	-470.499159	1	914	0.468093	0.000000	0.468093	0.468093	0.468093	0.468093	0.468093	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.614736	0.473090	0.150412	0.393511	0.001722	0.247360	0.904822	0.886158	
1010000	-470.376217	1	2814	0.475783	0.000000	0.475783	0.475783	0.475783	0.475783	0.475783	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.425606	0.817377	0.111131	0.394449	0.757086	0.839345	0.578450	0.452313	
1011000	-470.653181	1	1661	0.554044	0.000000	0.554044	0.554044	0.554044	0.554044	0.554044	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.679525	0.565275	0.741700	0.806641	0.928466	0.107924	0.185387	0.267364	
1012000	-470.182001	1	2173	0.500884	0.000000	0.500884	0.500884	0.500884	0.500884	0.500884	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.908672	0.448876	0.874073	0.940084	0.141404	0.239900	0.195607	0.053897	
1013000	-470.390070	1	3527	0.537248	0.000000	0.537248	0.537248	0.537248	0.537248	0.537248	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.768266	0.653562	0.626813	0.596390	0.610984	0.389509	0.996412	0.489330	
