Options:
Model:                           Discrete: Dependent
Tree File Name:                  tutorial_tree.nex
Data File Name:                  tutorial_edited_traits_save.tsv
Log File Name:                   tutorial_bayestraits_output_log_dep_save.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1390687965
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      5000000
Burn in:                         1000000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Save Model:                      tutorial_bayestraits_output_model_dep.bin
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,1.00) 
Tree Information
     Trees:                      1
     Taxa:                       500
     Sites:                      1
     States:                     4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
1000000	-466.227627	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.456408	0.000000	0.456408	0.456408	0.456408	0.456408	0.456408	0.000000	0.000001	0.000001	0.999997	0.000001	0.357895	
1001000	-465.908116	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.479897	0.000000	0.479897	0.479897	0.479897	0.479897	0.479897	0.000000	0.000001	0.000001	0.999997	0.000001	0.277699	
1002000	-465.952337	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.474829	0.000000	0.474829	0.474829	0.474829	0.474829	0.474829	0.000000	0.000001	0.000001	0.999997	0.000001	0.912443	
1003000	-466.698396	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.438015	0.000000	0.438015	0.438015	0.438015	0.438015	0.438015	0.000000	0.000001	0.000001	0.999997	0.000001	0.761140	
1004000	-465.863041	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.503046	0.000000	0.503046	0.503046	0.503046	0.503046	0.503046	0.000000	0.000001	0.000001	0.999997	0.000001	0.720466	
1005000	-466.290216	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.541741	0.000000	0.541741	0.541741	0.541741	0.541741	0.541741	0.000000	0.000001	0.000001	0.999996	0.000001	0.667331	
1006000	-467.024125	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.573281	0.000000	0.573281	0.573281	0.573281	0.573281	0.573281	0.000000	0.000001	0.000001	0.999996	0.000002	0.744198	
1007000	-466.869347	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.432843	0.000000	0.432843	0.432843	0.432843	0.432843	0.432843	0.000000	0.000001	0.000001	0.999997	0.000001	0.206928	
1008000	-466.354405	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.545159	0.000000	0.545159	0.545159	0.545159	0.545159	0.545159	0.000000	0.000001	0.000001	0.999996	0.000001	0.486599	
1009000	-465.922299	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.478101	0.000000	0.478101	0.478101	0.478101	0.478101	0.478101	0.000000	0.000001	0.000001	0.999997	0.000001	0.905829	
