Iteration	Lh	Tree No	Model No	alpha1	beta1	alpha2	beta2	Est t100 - 2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	alpha1 - Mean	beta1 - Mean	alpha2 - Mean	beta2 - Mean	
1000000	-511.883467	1	2222	0.288819	0.551354	0.551354	0.288819	0	0.248604	0.249360	0.250637	0.251399	0.330757	0.775865	0.041642	0.686042	
1001000	-513.411132	1	3149	0.285705	0.612003	0.612003	0.285705	0	0.249132	0.247371	0.252641	0.250856	0.460470	0.236685	0.636852	0.291262	
1002000	-512.553419	1	2813	0.213846	0.444151	0.444151	0.213846	0	0.242088	0.240094	0.259979	0.257839	0.982840	0.610213	0.298286	0.539152	
1003000	-511.836454	1	2041	0.229818	0.440313	0.440313	0.229818	0	0.243485	0.249642	0.250272	0.256601	0.674688	0.165738	0.635917	0.982637	
1004000	-511.622105	1	2230	0.282161	0.531461	0.531461	0.282161	0	0.248231	0.249777	0.250217	0.251775	0.902855	0.781991	0.752472	0.015126	
1005000	-511.467449	1	3011	0.252611	0.457360	0.457360	0.252611	0	0.245595	0.253638	0.246349	0.254417	0.503121	0.488385	0.902291	0.601228	
1006000	-513.364768	1	1110	0.276232	0.543010	0.543010	0.276232	1	0.248282	0.248327	0.251672	0.251718	0.982948	0.004851	0.951507	0.173002	
1007000	-512.019232	1	230	0.288150	0.561108	0.561108	0.288150	0	0.248704	0.248854	0.251145	0.251297	0.503447	0.463907	0.909011	0.588577	
1008000	-513.162685	1	1885	0.248275	0.482425	0.482425	0.248275	1	0.246176	0.248181	0.251796	0.253847	0.112147	0.544535	0.745024	0.871349	
1009000	-512.201410	1	2109	0.254934	0.542352	0.542352	0.254934	0	0.247780	0.244781	0.255264	0.252175	0.405278	0.112555	0.781576	0.073691	
1010000	-511.382148	1	2062	0.261068	0.505433	0.505433	0.261068	0	0.247245	0.248565	0.251424	0.252767	0.579570	0.649286	0.472350	0.914585	
1011000	-511.328408	1	2568	0.254887	0.486028	0.486028	0.254887	0	0.246559	0.249409	0.250568	0.253464	0.190353	0.502260	0.626283	0.687642	
1012000	-511.702393	1	2475	0.262765	0.453771	0.453771	0.262765	0	0.245924	0.256789	0.243270	0.254017	0.011989	0.041832	0.847161	0.625627	
1013000	-511.485170	1	493	0.272821	0.486128	0.486128	0.272821	0	0.247172	0.252944	0.247058	0.252826	0.312222	0.614677	0.774347	0.925159	
1014000	-513.391154	1	2176	0.332952	0.576247	0.576247	0.332952	0	0.249280	0.251065	0.248937	0.250718	0.790970	0.423341	0.902001	0.690667	
