Iteration	Lh	Tree No	Model No	q12	q13	q21	q24	q31	q34	q42	q43	Est t350 - 2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	q12 - Mean	q13 - Mean	q21 - Mean	q24 - Mean	q31 - Mean	q34 - Mean	q42 - Mean	q43 - Mean	
1000000	-460.763411	1	1397	0.690680	0.043596	0.690680	0.690680	0.690680	0.690680	0.690680	0.000000	1	0.247036	0.249982	0.249993	0.252988	0.808259	0.504218	0.582735	0.267620	0.906713	0.662629	0.014192	0.987057	
1001000	-461.561393	1	626	0.563495	0.009868	0.563495	0.563495	0.563495	0.000000	0.563495	0.009868	1	0.258786	0.283023	0.152720	0.305471	0.692462	0.635181	0.549399	0.914485	0.991009	0.150486	0.355696	0.991371	
1002000	-462.075142	1	1477	0.606255	0.013644	0.606255	0.606255	0.000000	0.013644	0.606255	0.000000	1	0.294527	0.334295	0.000278	0.370900	0.536200	0.559382	0.059450	0.964057	0.929570	0.454967	0.443069	0.861151	
1003000	-462.584824	1	3552	0.765066	0.025933	0.765066	0.765066	0.000000	0.765066	0.765066	0.025933	1	0.251647	0.253940	0.238729	0.255684	0.425689	0.533342	0.749208	0.888250	0.908917	0.481101	0.630208	0.736887	
1004000	-460.770750	1	3065	0.612033	0.048315	0.612033	0.612033	0.612033	0.612033	0.612033	0.000000	1	0.243929	0.250025	0.249814	0.256232	0.988610	0.881627	0.503112	0.659730	0.063247	0.702354	0.681432	0.457131	
1005000	-460.742056	1	768	0.668281	0.009340	0.668281	0.668281	0.000000	0.668281	0.668281	0.009340	1	0.249386	0.256220	0.231697	0.262697	0.243854	0.093859	0.464321	0.285437	0.593608	0.609017	0.804027	0.843007	
1006000	-461.809704	1	578	0.567399	0.016845	0.567399	0.567399	0.567399	0.567399	0.567399	0.000000	1	0.240035	0.249654	0.251160	0.259151	0.085334	0.070093	0.319108	0.738825	0.566151	0.183876	0.585834	0.562263	
1007000	-461.282972	1	3412	0.669883	0.031704	0.669883	0.669883	0.669883	0.669883	0.669883	0.031704	1	0.243668	0.250032	0.249867	0.256433	0.236607	0.728353	0.999265	0.672682	0.542195	0.619439	0.290047	0.293657	
1008000	-461.158832	1	860	0.561651	0.011386	0.561651	0.561651	0.561651	0.561651	0.561651	0.011386	1	0.231992	0.249985	0.249649	0.268374	0.626687	0.815807	0.374241	0.228028	0.218395	0.383568	0.118412	0.525722	
1009000	-460.854692	1	2463	0.704674	0.039387	0.704674	0.704674	0.704674	0.704674	0.704674	0.000000	1	0.247370	0.249980	0.250015	0.252636	0.099427	0.863753	0.943197	0.615810	0.842129	0.532953	0.675257	0.083231	
1010000	-460.660230	1	303	0.616821	0.033690	0.616821	0.616821	0.616821	0.616821	0.616821	0.000000	1	0.244043	0.249973	0.250039	0.255945	0.828584	0.208937	0.925192	0.587590	0.167524	0.652698	0.655284	0.257979	
1011000	-460.704084	1	1061	0.664721	0.048877	0.664721	0.664721	0.664721	0.664721	0.664721	0.000000	1	0.246271	0.249990	0.249946	0.253793	0.381034	0.467454	0.390398	0.638628	0.271682	0.795692	0.750674	0.763382	
1012000	-461.145966	1	3704	0.644274	0.066876	0.644274	0.644274	0.644274	0.644274	0.644274	0.000000	1	0.245583	0.250009	0.249817	0.254592	0.607388	0.925240	0.767098	0.871925	0.787482	0.331145	0.638197	0.186229	
1013000	-460.989147	1	3121	0.725758	0.011605	0.725758	0.725758	0.000000	0.725758	0.725758	0.011605	1	0.250038	0.254050	0.238124	0.257788	0.372940	0.890158	0.532175	0.880220	0.921924	0.664590	0.575187	0.213093	
1014000	-461.588403	1	3497	0.705029	0.018217	0.705029	0.705029	0.705029	0.705029	0.705029	0.000000	1	0.247213	0.249929	0.250204	0.252653	0.765557	0.399166	0.983664	0.272953	0.362804	0.785303	0.724252	0.353642	
1015000	-461.542900	1	1810	0.635179	0.021144	0.635179	0.635179	0.000000	0.635179	0.635179	0.021144	1	0.252071	0.259755	0.222127	0.266047	0.067638	0.204383	0.446238	0.118535	0.111218	0.880700	0.470065	0.526939	
1016000	-460.766132	1	596	0.616619	0.010609	0.616619	0.616619	0.616619	0.616619	0.616619	0.010609	1	0.238348	0.249932	0.250028	0.261692	0.595931	0.425224	0.353483	0.073983	0.347957	0.504610	0.048368	0.219460	
1017000	-460.790908	1	2521	0.587104	0.020144	0.587104	0.587104	0.587104	0.587104	0.587104	0.020144	1	0.236348	0.250100	0.249502	0.264050	0.834735	0.428487	0.109899	0.096331	0.818205	0.376380	0.281592	0.642963	
1018000	-460.862609	1	257	0.645448	0.057383	0.645448	0.645448	0.645448	0.645448	0.645448	0.000000	1	0.245592	0.250004	0.249864	0.254540	0.686543	0.253762	0.164110	0.873552	0.214112	0.689798	0.751230	0.444901	
1019000	-461.290485	1	3487	0.745335	0.045573	0.745335	0.745335	0.745335	0.745335	0.745335	0.000000	1	0.248203	0.249986	0.249999	0.251812	0.452578	0.239195	0.199376	0.079398	0.789312	0.646851	0.645236	0.536201	
