Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
1000000	-462.540680	1	2	2	'1 0 1 1 Z 0 1 Z 	D	0.515622	0.018905	0.515622	0.515622	0.000000	0.018905	0.515622	0.000000	0.262184	0.333449	0.000597	0.403770	0.249347	
1001000	-460.156814	1	2	1	'1 Z 1 1 1 1 1 0 	D	0.560169	0.000000	0.560169	0.560169	0.560169	0.560169	0.560169	0.024928	0.227449	0.250057	0.249528	0.272966	0.442429	
1002000	-459.441169	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.617904	0.047661	0.617904	0.617904	0.617904	0.617904	0.617904	0.000000	0.245077	0.250033	0.249861	0.255028	0.572545	
1003000	-461.122584	1	2	1	'0 1 0 0 0 0 0 Z 	D	0.510290	0.028824	0.510290	0.510290	0.510290	0.510290	0.510290	0.000000	0.236038	0.250322	0.249515	0.264125	0.315060	
1004000	-459.706243	1	2	1	'0 1 0 0 0 Z 0 1 	D	0.629872	0.007735	0.629872	0.629872	0.629872	0.000000	0.629872	0.007735	0.260428	0.273104	0.181677	0.284790	0.253798	
1005000	-460.191656	1	2	2	'0 1 0 0 0 Z 0 Z 	D	0.710548	0.020666	0.710548	0.710548	0.710548	0.000000	0.710548	0.000000	0.256451	0.265384	0.204500	0.273665	0.415581	
1006000	-459.722924	1	2	1	'0 1 0 0 0 0 0 Z 	D	0.689088	0.025402	0.689088	0.689088	0.689088	0.689088	0.689088	0.000000	0.247386	0.249956	0.250133	0.252525	0.234506	
1007000	-463.519259	1	2	1	'0 Z 0 0 0 0 0 1 	D	0.462506	0.000000	0.462506	0.462506	0.462506	0.462506	0.462506	0.039597	0.208739	0.251757	0.244542	0.294963	0.587815	
1008000	-460.076997	1	2	2	'0 1 0 0 0 Z 0 Z 	D	0.648760	0.026977	0.648760	0.648760	0.648760	0.000000	0.648760	0.000000	0.255717	0.273261	0.181367	0.289656	0.377281	
1009000	-463.217751	1	2	3	'0 Z 0 0 Z Z 0 1 	D	0.660632	0.000000	0.660632	0.660632	0.000000	0.000000	0.660632	0.002967	0.323736	0.333707	0.000000	0.342557	0.885978	
1010000	-459.954546	1	2	0	'0 1 0 0 0 1 0 1 	D	0.611204	0.006478	0.611204	0.611204	0.611204	0.006478	0.611204	0.006478	0.260045	0.274662	0.176869	0.288425	0.309654	
1011000	-462.131793	1	2	1	'0 Z 0 0 1 0 0 1 	D	0.525326	0.000000	0.525326	0.525326	0.021122	0.525326	0.525326	0.021122	0.247244	0.266073	0.203826	0.282857	0.835940	
1012000	-461.618214	1	2	1	'0 1 0 0 0 1 0 Z 	D	0.560896	0.044025	0.560896	0.560896	0.560896	0.044025	0.560896	0.000000	0.240808	0.282075	0.154749	0.322369	0.168072	
1013000	-459.783408	1	2	1	'0 1 0 0 0 Z 0 1 	D	0.599263	0.011005	0.599263	0.599263	0.599263	0.000000	0.599263	0.011005	0.260416	0.277397	0.169591	0.292596	0.642575	
1014000	-461.085000	1	2	2	'0 1 0 0 0 Z 0 Z 	D	0.625147	0.046435	0.625147	0.625147	0.625147	0.000000	0.625147	0.000000	0.248975	0.279850	0.162292	0.308884	0.299566	
1015000	-461.968334	1	2	1	'0 1 0 0 Z 1 0 1 	D	0.701100	0.014868	0.701100	0.701100	0.000000	0.014868	0.701100	0.014868	0.324368	0.336690	0.000290	0.338652	0.474370	
1016000	-460.136741	1	2	1	'0 1 0 0 0 1 0 Z 	D	0.620739	0.021021	0.620739	0.620739	0.620739	0.021021	0.620739	0.000000	0.255435	0.273194	0.181332	0.290039	0.373050	
