Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
100000	-462.923999	1	2	2	'1 0 1 1 0 Z 1 Z 	D	0.613814	0.020386	0.613814	0.613814	0.020386	0.000000	0.613814	0.000000	0.287460	0.334718	0.000391	0.377431	0.731908	
101000	-461.519335	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.634453	0.033660	0.634453	0.634453	0.634453	0.634453	0.634453	0.000000	0.247062	0.249957	0.250217	0.252764	0.990262	
102000	-461.822018	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.703775	0.068632	0.703775	0.703775	0.703775	0.703775	0.703775	0.000000	0.248561	0.250001	0.249973	0.251465	0.674645	
103000	-461.337826	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.651726	0.057770	0.651726	0.651726	0.651726	0.651726	0.651726	0.000000	0.247555	0.250016	0.249960	0.252469	0.437870	
104000	-462.365031	1	2	2	'1 0 1 1 1 Z 1 Z 	D	0.611278	0.038123	0.611278	0.611278	0.611278	0.000000	0.611278	0.000000	0.252051	0.279530	0.163210	0.305210	0.331146	
105000	-461.452043	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.621511	0.035451	0.621511	0.621511	0.621511	0.621511	0.621511	0.000000	0.246639	0.249970	0.250198	0.253193	0.185170	
106000	-463.489957	1	2	1	'1 Z 1 1 1 1 1 0 	D	0.688955	0.000000	0.688955	0.688955	0.688955	0.688955	0.688955	0.077434	0.242795	0.250107	0.250011	0.257087	0.840031	
107000	-461.975281	1	2	1	'1 0 1 1 1 Z 1 0 	D	0.605290	0.011377	0.605290	0.605290	0.605290	0.000000	0.605290	0.011377	0.260394	0.276469	0.172377	0.290760	0.673393	
108000	-462.761340	1	2	1	'1 Z 1 1 1 1 1 0 	D	0.598760	0.000000	0.598760	0.598760	0.598760	0.598760	0.598760	0.019930	0.230933	0.249655	0.250734	0.268679	0.323202	
109000	-462.129841	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.554931	0.030537	0.554931	0.554931	0.554931	0.554931	0.554931	0.000000	0.243148	0.249981	0.250461	0.256410	0.494141	
110000	-464.293054	1	2	2	'1 Z 1 1 Z 1 1 0 	D	0.551601	0.000000	0.551601	0.551601	0.000000	0.551601	0.551601	0.019416	0.246892	0.264241	0.208682	0.280185	0.195250	
111000	-462.224623	1	2	1	'1 Z 1 1 1 1 1 0 	D	0.639127	0.000000	0.639127	0.639127	0.639127	0.639127	0.639127	0.048776	0.237886	0.250085	0.249981	0.262048	0.432602	
112000	-463.108959	1	2	0	'1 0 1 1 1 0 1 0 	D	0.794372	0.017616	0.794372	0.794372	0.794372	0.017616	0.794372	0.017616	0.254318	0.257594	0.227856	0.260232	0.724668	
113000	-462.502408	1	2	1	'1 0 1 1 1 Z 1 0 	D	0.585245	0.020646	0.585245	0.585245	0.585245	0.000000	0.585245	0.020646	0.259555	0.280137	0.163521	0.296787	0.318095	
114000	-462.083053	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.687678	0.084249	0.687678	0.687678	0.687678	0.687678	0.687678	0.000000	0.248268	0.250008	0.249928	0.251797	0.656126	
115000	-461.299485	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.648912	0.045935	0.648912	0.648912	0.648912	0.648912	0.648912	0.000000	0.247493	0.249999	0.250040	0.252468	0.424385	
116000	-461.964955	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.623858	0.084208	0.623858	0.623858	0.623858	0.623858	0.623858	0.000000	0.246617	0.250064	0.249749	0.253570	0.384607	
117000	-462.261190	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.575566	0.081786	0.575566	0.575566	0.575566	0.575566	0.575566	0.000000	0.244377	0.250202	0.249377	0.256044	0.910782	
118000	-462.342881	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.570634	0.082201	0.570634	0.570634	0.570634	0.570634	0.570634	0.000000	0.244072	0.250225	0.249310	0.256393	0.777885	
119000	-464.288927	1	2	1	'1 0 1 1 0 0 1 Z 	D	0.600836	0.042861	0.600836	0.600836	0.042861	0.042861	0.600836	0.000000	0.253869	0.331915	0.008021	0.406195	0.772635	
120000	-463.108150	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.526352	0.023437	0.526352	0.526352	0.526352	0.526352	0.526352	0.000000	0.240530	0.249775	0.251397	0.258298	0.519056	
121000	-462.335769	1	2	0	'1 0 1 1 1 0 1 0 	D	0.715691	0.010231	0.715691	0.715691	0.715691	0.010231	0.715691	0.010231	0.256965	0.263050	0.211545	0.268439	0.691226	
122000	-464.203705	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.484101	0.025765	0.484101	0.484101	0.484101	0.484101	0.484101	0.000000	0.235582	0.250264	0.250596	0.263558	0.140745	
