Default schedule
Rate	71.43
Rev Jump	14.29
Prior Change	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
602	0.107973	184	0.010870	214	0.789720	1.431056	602	0.107973	0.236000	0.305894	
611	0.247136	172	0.000000	217	0.718894	0.863298	611	0.247136	0.307000	0.305896	
702	0.311966	165	0.048485	133	0.706767	0.863298	702	0.311966	0.321000	0.305926	
745	0.338255	132	0.053030	123	0.813008	0.863298	745	0.338255	0.359000	0.306031	
733	0.323329	123	0.008130	144	0.770833	0.863298	733	0.323329	0.349000	0.306116	
722	0.329640	122	0.008197	156	0.794872	0.863298	722	0.329640	0.363000	0.306229	
686	0.322157	147	0.013605	167	0.754491	0.863298	686	0.322157	0.349000	0.306313	
698	0.346705	151	0.019868	151	0.708609	0.863298	698	0.346705	0.352000	0.306403	
716	0.305866	137	0.000000	147	0.721088	0.863298	716	0.305866	0.325000	0.306439	
700	0.321429	152	0.000000	148	0.777027	0.863298	700	0.321429	0.340000	0.306505	
696	0.318966	160	0.018750	144	0.722222	0.863298	696	0.318966	0.329000	0.306549	
714	0.319328	134	0.037313	152	0.684211	0.863298	714	0.319328	0.337000	0.306609	
759	0.363636	106	0.028302	135	0.792593	0.863298	759	0.363636	0.386000	0.306764	
718	0.345404	151	0.019868	131	0.763359	0.863298	718	0.345404	0.351000	0.306850	
717	0.359833	140	0.000000	143	0.769231	0.863298	717	0.359833	0.368000	0.306968	
729	0.316872	148	0.006757	123	0.756098	0.863298	729	0.316872	0.325000	0.307003	
721	0.328710	131	0.030534	148	0.797297	0.863298	721	0.328710	0.359000	0.307104	
740	0.331081	137	0.029197	123	0.780488	0.863298	740	0.331081	0.345000	0.307177	
721	0.306519	140	0.007143	139	0.705036	0.863298	721	0.306519	0.320000	0.307202	
713	0.328191	138	0.007246	149	0.758389	0.863298	713	0.328191	0.348000	0.307280	
715	0.293706	138	0.036232	147	0.789116	0.863298	715	0.293706	0.331000	0.307326	
742	0.339623	110	0.027273	148	0.736486	0.863298	742	0.339623	0.364000	0.307434	
734	0.346049	122	0.032787	144	0.638889	0.863298	734	0.346049	0.350000	0.307516	
724	0.323204	121	0.049587	155	0.787097	0.863298	724	0.323204	0.362000	0.307620	
710	0.321127	135	0.022222	155	0.703226	0.863298	710	0.321127	0.340000	0.307681	
716	0.314246	145	0.006897	139	0.726619	0.863298	716	0.314246	0.327000	0.307718	
721	0.303745	148	0.006757	131	0.732824	0.863298	721	0.303745	0.316000	0.307734	
710	0.312676	130	0.007692	160	0.737500	0.863298	710	0.312676	0.341000	0.307797	
721	0.288488	122	0.008197	157	0.738854	0.863298	721	0.288488	0.325000	0.307829	
714	0.299720	128	0.039062	158	0.746835	0.863298	714	0.299720	0.337000	0.307884	
732	0.284153	127	0.000000	141	0.751773	0.863298	732	0.284153	0.314000	0.307896	
760	0.284211	112	0.008929	128	0.750000	0.863298	760	0.284211	0.313000	0.307905	
717	0.280335	143	0.020979	140	0.757143	0.863298	717	0.280335	0.310000	0.307909	
717	0.283124	119	0.000000	164	0.756098	0.863298	717	0.283124	0.327000	0.307945	
732	0.274590	139	0.000000	129	0.775194	0.863298	732	0.274590	0.301000	0.307932	
722	0.296399	140	0.000000	138	0.695652	0.863298	722	0.296399	0.310000	0.307936	
719	0.273992	132	0.022727	149	0.711409	0.863298	719	0.273992	0.306000	0.307932	
713	0.298738	147	0.034014	140	0.750000	0.863298	713	0.298738	0.323000	0.307960	
718	0.309192	138	0.014493	144	0.708333	0.863298	718	0.309192	0.326000	0.307994	
