Options:
Model:                           Discrete: Dependent
Tree File Name:                  tutorial_tree.nex
Data File Name:                  tutorial_traits_load.tsv
Log File Name:                   tutorial_bayestraits_output_log_load.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1570777294
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         100000
MCMC ML Start:                   False
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Load Model:                      tutorial_bayestraits_output_model.bin
Estimating values for taxa and Sites
	t100                
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Prior Information:
    Prior Categories:            100
    Priors
        q12 - Hyper Prior exp (0.00,1.00) 
        q13 - Hyper Prior exp (0.00,1.00) 
        q21 - Hyper Prior exp (0.00,1.00) 
        q24 - Hyper Prior exp (0.00,1.00) 
        q31 - Hyper Prior exp (0.00,1.00) 
        q34 - Hyper Prior exp (0.00,1.00) 
        q42 - Hyper Prior exp (0.00,1.00) 
        q43 - Hyper Prior exp (0.00,1.00) 
Tree Information
     Trees:                      1
     Taxa:                       500
     Sites:                      1
     States:                     4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Model No	q12	q13	q21	q24	q31	q34	q42	q43	Est t100 - 2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	q12 - Mean	q13 - Mean	q21 - Mean	q24 - Mean	q31 - Mean	q34 - Mean	q42 - Mean	q43 - Mean	
100000	-463.908418	1	456	0.622531	0.019782	0.622531	0.622531	0.622531	0.622531	0.622531	0.019782	1	0.240485	0.249992	0.249929	0.259593	0.599438	0.103611	0.498980	0.314417	0.093604	0.743071	0.236261	0.969664	
101000	-463.938749	1	907	0.588751	0.045371	0.588751	0.588751	0.588751	0.588751	0.588751	0.000000	1	0.245015	0.250060	0.249945	0.254979	0.417532	0.962843	0.433552	0.878448	0.884495	0.811683	0.266576	0.722877	
102000	-463.763746	1	558	0.613851	0.049323	0.613851	0.613851	0.613851	0.613851	0.613851	0.000000	1	0.246155	0.250032	0.249958	0.253855	0.265809	0.013219	0.926738	0.921504	0.098461	0.890625	0.626655	0.823786	
103000	-464.815117	1	195	0.536939	0.019351	0.536939	0.536939	0.536939	0.536939	0.536939	0.019351	1	0.230909	0.250185	0.249135	0.269771	0.028732	0.607909	0.447785	0.249933	0.142723	0.118287	0.558961	0.250036	
104000	-463.801542	1	790	0.632695	0.060696	0.632695	0.632695	0.632695	0.632695	0.632695	0.000000	1	0.246822	0.250031	0.249902	0.253245	0.522558	0.934979	0.751387	0.366278	0.118764	0.519472	0.535904	0.029399	
105000	-463.831792	1	228	0.676779	0.049425	0.676779	0.676779	0.676779	0.676779	0.676779	0.000000	1	0.247977	0.249993	0.250020	0.252009	0.400310	0.409578	0.078223	0.793174	0.721388	0.391865	0.045503	0.196764	
106000	-465.112715	1	213	0.786767	0.053178	0.786767	0.786767	0.786767	0.786767	0.786767	0.000000	1	0.249309	0.249993	0.250007	0.250691	0.740627	0.562627	0.829316	0.110410	0.704305	0.358705	0.751211	0.785855	
107000	-464.963724	1	882	0.777682	0.056989	0.777682	0.777682	0.777682	0.777682	0.777682	0.000000	1	0.249248	0.249994	0.250004	0.250755	0.714413	0.388476	0.227400	0.027521	0.279190	0.130382	0.442956	0.519919	
108000	-463.852911	1	199	0.642327	0.038038	0.642327	0.642327	0.642327	0.642327	0.642327	0.000000	1	0.247116	0.249974	0.250129	0.252782	0.831214	0.522627	0.340011	0.960296	0.520104	0.655348	0.212296	0.217680	
109000	-465.402398	1	315	0.682129	0.022782	0.682129	0.682129	0.022782	0.000000	0.682129	0.000000	1	0.295188	0.334967	0.000509	0.369336	0.108085	0.701351	0.639502	0.852004	0.320423	0.605922	0.451175	0.561007	
110000	-464.028450	1	481	0.626723	0.016551	0.626723	0.626723	0.626723	0.626723	0.626723	0.016551	1	0.240552	0.249954	0.250038	0.259457	0.132206	0.057007	0.765179	0.210043	0.538067	0.932242	0.650617	0.780542	
111000	-464.721632	1	631	0.601417	0.088648	0.601417	0.601417	0.601417	0.601417	0.601417	0.000000	1	0.245474	0.250106	0.249581	0.254839	0.011563	0.904293	0.597911	0.605252	0.064842	0.713045	0.253968	0.305997	
112000	-464.698783	1	182	0.609483	0.000000	0.609483	0.609483	0.609483	0.609483	0.609483	0.044838	1	0.234268	0.250093	0.249913	0.265725	0.944590	0.237341	0.598954	0.198226	0.621515	0.912996	0.461778	0.186243	
113000	-465.276648	1	774	0.571357	0.027075	0.571357	0.571357	0.571357	0.000000	0.571357	0.000000	1	0.253695	0.283482	0.151028	0.311795	0.407664	0.960250	0.243054	0.358783	0.270278	0.759682	0.138115	0.599395	
114000	-464.556707	1	816	0.630109	0.028266	0.630109	0.630109	0.630109	0.028266	0.630109	0.000000	1	0.253927	0.271563	0.186483	0.288027	0.513801	0.239353	0.745886	0.238252	0.086833	0.957884	0.292475	0.834791	
115000	-463.830987	1	215	0.601533	0.049463	0.601533	0.601533	0.601533	0.601533	0.601533	0.000000	1	0.245634	0.250052	0.249920	0.254394	0.710175	0.247500	0.521614	0.641323	0.504096	0.981065	0.772773	0.097643	
116000	-463.926242	1	113	0.691398	0.052389	0.691398	0.691398	0.691398	0.691398	0.691398	0.000000	1	0.248254	0.249993	0.250010	0.251743	0.178785	0.306671	0.368003	0.249352	0.419716	0.632454	0.088398	0.946894	
117000	-465.271247	1	326	0.778937	0.012350	0.778937	0.778937	0.778937	0.000000	0.778937	0.012350	1	0.255508	0.259225	0.222877	0.262390	0.608733	0.142860	0.727798	0.329369	0.476845	0.985551	0.802112	0.258904	
118000	-464.700674	1	720	0.640630	0.093861	0.640630	0.640630	0.640630	0.640630	0.640630	0.000000	1	0.246964	0.250037	0.249785	0.253214	0.249919	0.405630	0.452893	0.828518	0.390050	0.243612	0.112165	0.252986	
119000	-464.636740	1	347	0.751754	0.045552	0.751754	0.751754	0.751754	0.751754	0.751754	0.000000	1	0.249033	0.249989	0.250023	0.250955	0.726621	0.739649	0.532527	0.614925	0.267452	0.411128	0.125280	0.461413	
120000	-464.041918	1	616	0.588648	0.037738	0.588648	0.588648	0.588648	0.588648	0.588648	0.000000	1	0.244987	0.250009	0.250138	0.254867	0.339690	0.335426	0.736794	0.206920	0.189929	0.916801	0.190911	0.991029	
121000	-465.820600	1	909	0.728488	0.024453	0.728488	0.728488	0.000000	0.000000	0.728488	0.000000	1	0.298260	0.335343	0.000000	0.366397	0.426278	0.697782	0.568598	0.903075	0.388578	0.272262	0.421448	0.571873	
122000	-464.695734	1	717	0.621080	0.000000	0.621080	0.621080	0.621080	0.621080	0.621080	0.046896	1	0.235732	0.250094	0.249942	0.264233	0.533490	0.269831	0.109174	0.754061	0.807075	0.388715	0.546401	0.050271	
123000	-464.640846	1	523	0.613564	0.010003	0.613564	0.613564	0.000000	0.613564	0.613564	0.010003	1	0.250137	0.259926	0.220922	0.269015	0.922906	0.555408	0.280565	0.398022	0.864482	0.828600	0.110103	0.014595	
