Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
101000	-464.299587	1	2	2	'1 0 1 Z 0 0 Z 0 	D	0.007018	0.625583	0.007018	0.000000	0.625583	0.625583	0.000000	0.625583	0.312465	0.000053	0.334078	0.353404	0.448583	
102000	-463.163457	1	2	1	'1 0 Z 0 0 0 1 0 	D	0.023776	0.561499	0.000000	0.561499	0.561499	0.561499	0.023776	0.561499	0.254338	0.203036	0.266737	0.275890	1.459870	
103000	-462.861711	1	2	0	'1 0 0 0 0 0 1 0 	D	0.008054	0.604041	0.604041	0.604041	0.604041	0.604041	0.008054	0.604041	0.237830	0.251049	0.249590	0.261530	0.247036	
104000	-464.180712	1	2	2	'Z 0 1 Z 0 0 1 0 	D	0.000000	0.675754	0.016589	0.000000	0.675754	0.675754	0.016589	0.675754	0.343602	0.000342	0.335178	0.320877	0.492528	
105000	-462.544126	1	2	0	'1 0 0 1 0 0 1 0 	D	0.020394	0.574560	0.574560	0.020394	0.574560	0.574560	0.020394	0.574560	0.257177	0.166539	0.279078	0.297206	4.749248	
106000	-462.074755	1	2	0	'1 0 1 0 0 0 1 0 	D	0.017114	0.714035	0.017114	0.714035	0.714035	0.714035	0.017114	0.714035	0.251032	0.236881	0.254530	0.257558	0.705631	
107000	-463.782141	1	2	1	'1 0 Z 0 0 0 1 0 	D	0.020792	0.521442	0.000000	0.521442	0.521442	0.521442	0.020792	0.521442	0.251794	0.193056	0.270301	0.284849	0.176977	
108000	-463.051772	1	2	1	'Z 0 1 0 0 0 1 0 	D	0.000000	0.669024	0.023884	0.669024	0.669024	0.669024	0.023884	0.669024	0.248073	0.237502	0.254318	0.260107	2.183323	
109000	-462.372841	1	2	0	'1 0 0 0 0 0 1 0 	D	0.041158	0.653499	0.653499	0.653499	0.653499	0.653499	0.041158	0.653499	0.243956	0.249831	0.250053	0.256159	0.197137	
110000	-465.288899	1	2	1	'Z 0 0 0 0 0 1 0 	D	0.000000	0.463116	0.463116	0.463116	0.463116	0.463116	0.030425	0.463116	0.202978	0.246527	0.250565	0.299930	0.725352	
111000	-462.270377	1	2	1	'1 0 0 0 0 0 Z 0 	D	0.055161	0.752754	0.752754	0.752754	0.752754	0.752754	0.000000	0.752754	0.249130	0.250008	0.249994	0.250869	0.814909	
112000	-464.351803	1	2	1	'1 0 0 1 0 0 Z 0 	D	0.086722	0.698744	0.698744	0.086722	0.698744	0.698744	0.000000	0.698744	0.244293	0.206983	0.264878	0.283845	2.361484	
113000	-461.912501	1	2	1	'1 0 0 Z 0 0 1 0 	D	0.016183	0.682576	0.682576	0.000000	0.682576	0.682576	0.016183	0.682576	0.258772	0.199267	0.267429	0.274532	2.342543	
114000	-462.061448	1	2	1	'1 0 0 0 0 0 Z 0 	D	0.029021	0.565409	0.565409	0.565409	0.565409	0.565409	0.000000	0.565409	0.243843	0.250566	0.249927	0.255664	0.894128	
115000	-462.884879	1	2	1	'1 0 0 0 0 0 Z 0 	D	0.082999	0.766335	0.766335	0.766335	0.766335	0.766335	0.000000	0.766335	0.249222	0.249984	0.249996	0.250797	0.204891	
116000	-461.713323	1	2	1	'1 0 0 0 0 0 Z 0 	D	0.058955	0.706500	0.706500	0.706500	0.706500	0.706500	0.000000	0.706500	0.248612	0.249996	0.249997	0.251396	0.352134	
117000	-464.211985	1	2	0	'1 0 0 0 0 0 1 0 	D	0.025184	0.474695	0.474695	0.474695	0.474695	0.474695	0.025184	0.474695	0.221190	0.245873	0.251310	0.281626	0.453069	
118000	-461.404802	1	2	0	'1 0 0 0 0 0 1 0 	D	0.022930	0.619956	0.619956	0.619956	0.619956	0.619956	0.022930	0.619956	0.240760	0.249853	0.250025	0.259363	0.564374	
119000	-463.098466	1	2	1	'Z 0 1 0 0 0 1 0 	D	0.000000	0.697404	0.029597	0.697404	0.697404	0.697404	0.029597	0.697404	0.249722	0.239132	0.253773	0.257373	1.013435	
120000	-462.693015	1	2	0	'1 0 1 0 0 0 1 0 	D	0.027426	0.632018	0.027426	0.632018	0.632018	0.632018	0.027426	0.632018	0.252900	0.224505	0.259071	0.263524	4.782648	
121000	-461.564619	1	2	1	'1 0 0 0 0 0 Z 0 	D	0.035917	0.665612	0.665612	0.665612	0.665612	0.665612	0.000000	0.665612	0.247885	0.250133	0.249969	0.252012	0.715739	
122000	-462.557663	1	2	1	'1 0 0 Z 0 0 1 0 	D	0.018771	0.747002	0.747002	0.000000	0.747002	0.747002	0.018771	0.747002	0.256636	0.215951	0.261720	0.265693	0.447277	
123000	-462.529403	1	2	1	'1 0 0 1 0 0 Z 0 	D	0.048798	0.717071	0.717071	0.048798	0.717071	0.717071	0.000000	0.717071	0.250776	0.211593	0.263168	0.274464	0.968700	
124000	-461.878335	1	2	0	'1 0 1 0 0 0 1 0 	D	0.017717	0.625307	0.017717	0.625307	0.625307	0.625307	0.017717	0.625307	0.251500	0.223820	0.259112	0.265569	0.482437	
125000	-462.480053	1	2	0	'1 0 1 0 0 0 1 0 	D	0.025994	0.671301	0.025994	0.671301	0.671301	0.671301	0.025994	0.671301	0.252388	0.230678	0.256819	0.260116	0.991502	
126000	-462.599810	1	2	1	'1 0 0 0 0 0 Z 0 	D	0.019874	0.586769	0.586769	0.586769	0.586769	0.586769	0.000000	0.586769	0.244905	0.251292	0.249664	0.254140	1.121505	
127000	-462.254720	1	2	1	'1 0 0 0 0 0 Z 0 	D	0.052494	0.751665	0.751665	0.751665	0.751665	0.751665	0.000000	0.751665	0.249121	0.250012	0.249993	0.250875	0.999837	
128000	-463.226823	1	2	1	'1 0 0 0 0 0 Z 0 	D	0.037064	0.793570	0.793570	0.793570	0.793570	0.793570	0.000000	0.793570	0.249413	0.250025	0.249991	0.250571	1.110705	
129000	-461.531351	1	2	1	'1 0 0 0 0 0 Z 0 	D	0.049056	0.576673	0.576673	0.576673	0.576673	0.576673	0.000000	0.576673	0.244628	0.249812	0.250121	0.255440	0.477465	
130000	-462.132695	1	2	1	'1 0 0 1 0 0 Z 0 	D	0.039709	0.634861	0.634861	0.039709	0.634861	0.634861	0.000000	0.634861	0.250641	0.187486	0.271313	0.290560	0.894956	
