Options:
Model:                           Discrete: Independent
Tree File Name:                  /Users/emeraldbender/Library/CloudStorage/OneDrive-MontanaStateUniversity/Desktop/disctrait_local/eubird_nest_dodo_indRJpredict/tree.nex
Data File Name:                  /Users/emeraldbender/Library/CloudStorage/OneDrive-MontanaStateUniversity/Desktop/disctrait_local/eubird_nest_dodo_indRJpredict/data.txt
Log File Name:                   eubird_nest_dodo_indRJprecict.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2736979711
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   3000
Iterations:                      2000000
Burn in:                         200000
MCMC ML Start:                   False
Schedule File:                   eubird_nest_dodo_indRJprecict.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Load Model:                      eubird_nest_dodo_indRJ.bin
Estimating values for taxa and Sites
	Raphus_cucullatus   
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1
     Taxa:                       420
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	Model No	alpha1	beta1	alpha2	beta2	Est Raphus_cucullatus - 2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
201000	-345.091833	1	570	0.008502	0.008502	0.008502	0.008502	0	0.307492	0.482490	0.081747	0.128271	
204000	-344.858630	1	6	0.007869	0.007869	0.007869	0.007869	1	0.322015	0.484654	0.077176	0.116155	
207000	-344.925351	1	233	0.007982	0.007982	0.007982	0.007982	1	0.319342	0.484357	0.077998	0.118303	
210000	-341.240613	1	380	0.002145	0.009545	0.009545	0.009545	0	0.060928	0.101592	0.313967	0.523513	
213000	-344.832183	1	564	0.008236	0.008236	0.008236	0.008236	0	0.313458	0.483541	0.079840	0.123161	
216000	-344.795162	1	140	0.007070	0.007070	0.007070	0.007070	1	0.341921	0.485429	0.071352	0.101299	
219000	-344.533882	1	241	0.007763	0.007763	0.007763	0.007763	0	0.324559	0.484892	0.076403	0.114146	
222000	-344.842631	1	49	0.007838	0.007838	0.007838	0.007838	1	0.322754	0.484728	0.076950	0.115568	
225000	-344.485336	1	199	0.007243	0.007243	0.007243	0.007243	0	0.337459	0.485473	0.072610	0.104457	
228000	-345.601950	1	234	0.008908	0.008908	0.008908	0.008908	0	0.298745	0.480543	0.084611	0.136101	
231000	-344.475669	1	313	0.007549	0.007549	0.007549	0.007549	0	0.329782	0.485255	0.074840	0.110123	
234000	-340.744959	1	193	0.002656	0.009259	0.009259	0.009259	0	0.087735	0.144011	0.290847	0.477407	
237000	-344.506114	1	189	0.007682	0.007682	0.007682	0.007682	0	0.326502	0.485048	0.075817	0.112633	
240000	-344.769087	1	131	0.007140	0.007140	0.007140	0.007140	1	0.340100	0.485463	0.071862	0.102576	
243000	-340.744959	1	193	0.002656	0.009259	0.009259	0.009259	0	0.087735	0.144011	0.290847	0.477407	
246000	-340.744959	1	193	0.002656	0.009259	0.009259	0.009259	0	0.087735	0.144011	0.290847	0.477407	
249000	-344.765662	1	46	0.007151	0.007151	0.007151	0.007151	1	0.339820	0.485466	0.071940	0.102773	
252000	-344.615158	1	521	0.006937	0.006937	0.006937	0.006937	0	0.345384	0.485305	0.070396	0.098915	
255000	-344.895448	1	300	0.006886	0.006886	0.006886	0.006886	1	0.346737	0.485238	0.070027	0.097999	
258000	-340.744959	1	193	0.002656	0.009259	0.009259	0.009259	0	0.087735	0.144011	0.290847	0.477407	
261000	-344.987790	1	408	0.008072	0.008072	0.008072	0.008072	1	0.317232	0.484091	0.078653	0.120024	
264000	-344.906340	1	531	0.006870	0.006870	0.006870	0.006870	1	0.347156	0.485214	0.069913	0.097717	
267000	-346.244228	1	383	0.005952	0.005952	0.005952	0.005952	1	0.372671	0.481753	0.063495	0.082080	
270000	-344.563937	1	82	0.007027	0.007027	0.007027	0.007027	0	0.343038	0.485396	0.071042	0.100524	
273000	-344.466857	1	485	0.007460	0.007460	0.007460	0.007460	0	0.331970	0.485356	0.074196	0.108478	
276000	-344.755012	1	360	0.007605	0.007605	0.007605	0.007605	1	0.328400	0.485178	0.075249	0.111173	
279000	-344.538164	1	187	0.007081	0.007081	0.007081	0.007081	0	0.341617	0.485435	0.071437	0.101511	
282000	-344.726105	1	480	0.006788	0.006788	0.006788	0.006788	0	0.349340	0.485073	0.069325	0.096261	
285000	-344.695373	1	113	0.008060	0.008060	0.008060	0.008060	0	0.317519	0.484126	0.078565	0.119789	
288000	-347.200250	1	422	0.005533	0.005533	0.005533	0.005533	0	0.385085	0.478685	0.060734	0.075496	
291000	-340.744959	1	193	0.002656	0.009259	0.009259	0.009259	0	0.087735	0.144011	0.290847	0.477407	
294000	-341.065275	1	193	0.002656	0.009259	0.009259	0.009259	1	0.087734	0.144013	0.290843	0.477411	
297000	-341.065275	1	193	0.002656	0.009259	0.009259	0.009259	1	0.087734	0.144013	0.290843	0.477411	
300000	-344.634796	1	128	0.006907	0.006907	0.006907	0.006907	0	0.346172	0.485267	0.070181	0.098380	
303000	-344.580632	1	552	0.006995	0.006995	0.006995	0.006995	0	0.343859	0.485368	0.070815	0.099958	
306000	-344.664500	1	502	0.008014	0.008014	0.008014	0.008014	0	0.318595	0.484264	0.078231	0.118910	
309000	-345.114377	1	402	0.006633	0.006633	0.006633	0.006633	1	0.353510	0.484724	0.068222	0.093544	
312000	-344.881311	1	128	0.006907	0.006907	0.006907	0.006907	1	0.346171	0.485268	0.070181	0.098380	
315000	-344.707631	1	190	0.008077	0.008077	0.008077	0.008077	0	0.317113	0.484072	0.078692	0.120123	
318000	-344.654294	1	171	0.006879	0.006879	0.006879	0.006879	0	0.346911	0.485227	0.069980	0.097882	
321000	-342.261416	1	195	0.004305	0.009144	0.004305	0.009144	1	0.109501	0.332086	0.138470	0.419943	
324000	-344.800986	1	143	0.007746	0.007746	0.007746	0.007746	1	0.324966	0.484929	0.076279	0.113827	
327000	-344.983958	1	542	0.008067	0.008067	0.008067	0.008067	1	0.317353	0.484107	0.078616	0.119924	
330000	-344.742881	1	75	0.007548	0.007548	0.007548	0.007548	1	0.329786	0.485257	0.074838	0.110119	
333000	-344.829809	1	150	0.007812	0.007812	0.007812	0.007812	1	0.323384	0.484788	0.076759	0.115070	
336000	-344.795372	1	224	0.008192	0.008192	0.008192	0.008192	0	0.314462	0.483695	0.079523	0.122320	
339000	-345.015815	1	323	0.006734	0.006734	0.006734	0.006734	1	0.350801	0.484964	0.068935	0.095299	
342000	-345.248443	1	85	0.006518	0.006518	0.006518	0.006518	1	0.356677	0.484386	0.067402	0.091535	
345000	-344.745358	1	324	0.006766	0.006766	0.006766	0.006766	0	0.349931	0.485030	0.069167	0.095871	
348000	-344.929275	1	117	0.006838	0.006838	0.006838	0.006838	1	0.347998	0.485164	0.069686	0.097153	
351000	-341.065275	1	193	0.002656	0.009259	0.009259	0.009259	1	0.087734	0.144013	0.290843	0.477411	
354000	-344.852135	1	509	0.006656	0.006656	0.006656	0.006656	0	0.352888	0.484782	0.068385	0.093944	
357000	-342.261416	1	195	0.004305	0.009144	0.004305	0.009144	1	0.109501	0.332086	0.138470	0.419943	
360000	-345.590658	1	12	0.006282	0.006282	0.006282	0.006282	1	0.363220	0.483494	0.065756	0.087530	
363000	-344.980936	1	454	0.008063	0.008063	0.008063	0.008063	1	0.317450	0.484120	0.078586	0.119845	
366000	-344.881779	1	304	0.006629	0.006629	0.006629	0.006629	0	0.353633	0.484711	0.068190	0.093466	
369000	-345.113378	1	382	0.006444	0.006444	0.006444	0.006444	0	0.358698	0.484138	0.066887	0.090278	
372000	-341.065275	1	193	0.002656	0.009259	0.009259	0.009259	1	0.087734	0.144013	0.290843	0.477411	
375000	-344.611442	1	467	0.007926	0.007926	0.007926	0.007926	0	0.320664	0.484507	0.077592	0.117237	
