Options:
Model:                           Discrete: Dependent
Tree File Name:                  BirdTreeCleaned.tre
Data File Name:                  DataCleaned.txt
Log File Name:                   birds_nest_coparent_depRJ.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2140403048
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      3500000
Burn in:                         500000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   birds_nest_coparent_depRJ.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Save Model:                      birds_nest_coparent_depRJ.bin
Scale Tree:                      0.010244
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,2.00) 
Tree Information
     Trees:                      1
     Taxa:                       399
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
501000	-304.858903	1	2	0	'1 1 1 1 0 0 1 0 	D	0.326888	0.326888	0.326888	0.326888	1.918222	1.918222	0.326888	1.918222	0.158220	0.142955	0.342543	0.356282	1.654642	
502000	-305.397447	1	2	0	'1 1 1 1 0 0 1 0 	D	0.295273	0.295273	0.295273	0.295273	1.973635	1.973635	0.295273	1.973635	0.139093	0.119054	0.361029	0.380824	0.639378	
503000	-313.166480	1	2	2	'1 Z 0 0 1 1 Z 1 	D	1.828094	0.000000	0.540368	0.540368	1.828094	1.828094	0.000000	1.828094	0.354947	0.485379	0.141242	0.018432	1.906171	
504000	-306.516125	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.465348	0.465348	0.465348	0.465348	1.938089	1.938089	0.000000	0.465348	0.471368	0.479508	0.048931	0.000194	1.442241	
505000	-309.110069	1	2	0	'1 1 1 1 0 0 1 1 	D	0.725427	0.725427	0.725427	0.725427	1.904131	1.904131	0.725427	0.725427	0.256315	0.309073	0.286298	0.148315	1.230889	
506000	-305.363709	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.575469	0.575469	0.575469	0.575469	2.101838	2.101838	0.000000	0.575469	0.445346	0.515088	0.039346	0.000220	0.732291	
507000	-309.354490	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.883502	0.883502	0.883502	0.883502	2.047588	2.047588	0.000000	0.883502	0.393075	0.577548	0.029063	0.000314	0.910135	
508000	-307.398887	1	2	0	'1 1 1 1 0 0 1 1 	D	0.370159	0.370159	0.370159	0.370159	2.206231	2.206231	0.370159	0.370159	0.219699	0.149109	0.547741	0.083451	1.170060	
509000	-307.827030	1	2	0	'1 1 1 1 0 0 1 1 	D	0.349743	0.349743	0.349743	0.349743	2.130726	2.130726	0.349743	0.349743	0.217633	0.140083	0.563064	0.079220	0.481501	
510000	-306.603713	1	2	0	'1 1 1 1 0 0 1 1 	D	0.429485	0.429485	0.429485	0.429485	1.721480	1.721480	0.429485	0.429485	0.262127	0.217124	0.423702	0.097047	1.828705	
511000	-310.484521	1	2	1	'0 0 0 0 0 1 Z 0 	D	0.808567	0.808567	0.808567	0.808567	0.808567	2.890618	0.000000	0.808567	0.480035	0.511385	0.008496	0.000083	0.956487	
512000	-314.210286	1	2	2	'0 Z 0 0 0 1 Z 0 	D	1.016719	0.000000	1.016719	1.016719	1.016719	2.305770	0.000000	1.016719	0.340330	0.647150	0.012234	0.000286	1.581795	
513000	-309.740995	1	2	1	'1 0 0 0 1 1 Z 1 	D	1.492396	0.501030	0.501030	0.501030	1.492396	1.492396	0.000000	1.492396	0.603933	0.358255	0.036405	0.001407	0.656679	
514000	-308.147438	1	2	0	'1 1 1 1 0 0 1 1 	D	0.349629	0.349629	0.349629	0.349629	1.724466	1.724466	0.349629	0.349629	0.243680	0.165908	0.508896	0.081516	1.840571	
515000	-306.616028	1	2	0	'1 1 1 1 0 0 1 1 	D	0.600282	0.600282	0.600282	0.600282	2.002091	2.002091	0.600282	0.600282	0.256385	0.266890	0.349643	0.127082	1.431348	
516000	-306.114755	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.577993	0.577993	0.577993	0.577993	2.552307	2.552307	0.000000	0.577993	0.442318	0.509841	0.047551	0.000290	1.944874	
517000	-306.257521	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.483633	0.483633	0.483633	0.483633	1.925163	1.925163	0.000000	0.483633	0.467152	0.487419	0.045241	0.000189	1.866068	
518000	-306.137397	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.708475	0.708475	0.708475	0.708475	2.124465	2.124465	0.000000	0.708475	0.419397	0.547006	0.033342	0.000255	1.365494	
519000	-305.888845	1	2	0	'1 1 1 1 0 0 1 1 	D	0.514655	0.514655	0.514655	0.514655	1.937388	1.937388	0.514655	0.514655	0.257476	0.240181	0.390451	0.111892	1.886314	
520000	-305.567251	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.540316	0.540316	0.540316	0.540316	2.005730	2.005730	0.000000	0.540316	0.453559	0.506055	0.040184	0.000201	1.011654	
