Options:
Model:                           Discrete: Dependent
Tree File Name:                  BirdTreeCleaned.tre
Data File Name:                  DataCleaned.txt
Log File Name:                   birds_nest_coparent_depRJ_KNOWN.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2077959526
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      3500000
Burn in:                         500000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   birds_nest_coparent_depRJ_KNOWN.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Save Model:                      birds_nest_coparent_depRJ_KNOWN.bin
Scale Tree:                      0.010244
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,2.00) 
Tree Information
     Trees:                      1
     Taxa:                       399
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
501000	-306.104244	1	2	0	'1 1 1 1 0 0 1 1 	D	0.517189	0.517189	0.517189	0.517189	2.242065	2.242065	0.517189	0.517189	0.242760	0.220400	0.424657	0.112184	1.851927	
502000	-306.201085	1	2	0	'1 1 1 1 0 0 1 1 	D	0.421872	0.421872	0.421872	0.421872	1.967552	1.967552	0.421872	0.421872	0.244644	0.192605	0.467829	0.094922	1.395866	
503000	-305.379494	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.573774	0.573774	0.573774	0.573774	2.078812	2.078812	0.000000	0.573774	0.445828	0.514992	0.038964	0.000216	0.736400	
504000	-307.029384	1	2	0	'1 1 1 1 0 0 1 1 	D	0.381396	0.381396	0.381396	0.381396	1.833900	1.833900	0.381396	0.381396	0.244452	0.178382	0.489658	0.087507	0.983291	
505000	-307.000946	1	2	0	'1 1 1 1 0 0 1 1 	D	0.416167	0.416167	0.416167	0.416167	2.377205	2.377205	0.416167	0.416167	0.222960	0.167068	0.517530	0.092441	1.259542	
506000	-306.388521	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.506125	0.506125	0.506125	0.506125	1.800272	1.800272	0.000000	0.506125	0.462605	0.499036	0.038195	0.000165	1.574899	
507000	-306.280968	1	2	0	'1 1 1 1 0 0 1 1 	D	0.438666	0.438666	0.438666	0.438666	2.226249	2.226249	0.438666	0.438666	0.233982	0.185750	0.482897	0.097372	0.722239	
508000	-306.960459	1	2	0	'1 1 1 1 0 0 1 1 	D	0.623499	0.623499	0.623499	0.623499	2.109271	2.109271	0.623499	0.623499	0.251346	0.266027	0.351107	0.131520	1.064524	
509000	-307.464923	1	2	0	'0 0 0 0 1 1 0 0 	D	0.654150	0.654150	0.654150	0.654150	2.037054	2.037054	0.654150	0.654150	0.253781	0.280169	0.329293	0.136757	0.667783	
510000	-307.103281	1	2	0	'0 0 0 0 1 1 0 0 	D	0.447820	0.447820	0.447820	0.447820	1.587362	1.587362	0.447820	0.447820	0.274960	0.241483	0.383230	0.100327	1.134681	
511000	-305.962063	1	2	0	'0 0 0 0 1 1 0 0 	D	0.501754	0.501754	0.501754	0.501754	2.187797	2.187797	0.501754	0.501754	0.243894	0.217222	0.429491	0.109394	0.554756	
512000	-307.053508	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.437284	0.437284	0.437284	0.437284	2.259580	2.259580	0.000000	0.437284	0.474857	0.460296	0.064599	0.000248	1.411341	
513000	-306.035483	1	2	0	'1 1 1 1 0 0 1 1 	D	0.524177	0.524177	0.524177	0.524177	2.192915	2.192915	0.524177	0.524177	0.245408	0.226138	0.414927	0.113527	1.228894	
514000	-305.733327	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.544624	0.544624	0.544624	0.544624	2.375538	2.375538	0.000000	0.544624	0.450395	0.501648	0.047698	0.000259	1.656030	
515000	-306.285618	1	2	0	'1 1 1 1 0 0 1 1 	D	0.570694	0.570694	0.570694	0.570694	2.119541	2.119541	0.570694	0.570694	0.250704	0.248280	0.379007	0.122009	1.776037	
516000	-304.849127	1	3	0	'1 1 1 1 2 0 1 1 	D	0.438871	0.438871	0.438871	0.438871	1.089418	2.474141	0.438871	0.438871	0.425091	0.184475	0.347591	0.042843	0.763833	
517000	-310.682812	1	2	0	'0 0 1 0 1 1 0 1 	D	0.424410	0.424410	1.054427	0.424410	1.054427	1.054427	0.424410	1.054427	0.161188	0.542048	0.136993	0.159772	1.215455	
518000	-305.670588	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.651534	0.651534	0.651534	0.651534	2.305625	2.305625	0.000000	0.651534	0.429031	0.531886	0.038812	0.000271	0.932280	
519000	-309.895018	1	2	1	'0 1 1 1 0 0 Z 0 	D	1.517667	0.385817	0.385817	0.385817	1.517667	1.517667	0.000000	1.517667	0.668815	0.282077	0.046776	0.002333	1.639001	
520000	-310.443184	1	2	0	'0 1 1 1 0 0 1 0 	D	1.717838	0.338828	0.338828	0.338828	1.717838	1.717838	0.338828	1.717838	0.306327	0.107650	0.266192	0.319831	1.741590	
521000	-305.525268	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.619152	0.619152	0.619152	0.619152	2.313406	2.313406	0.000000	0.619152	0.435275	0.523827	0.040634	0.000264	1.561508	
522000	-306.028643	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.654280	0.654280	0.654280	0.654280	1.895984	1.895984	0.000000	0.654280	0.430124	0.539293	0.030389	0.000195	1.610503	
