Default schedule
Rate	44.44
Est Data	55.56
Rate Tried	% Accepted	Est Data Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
427	0.508197	573	0.687609	9.035380	0	0.000000	0.611000	0.534408	
417	0.417266	583	0.703259	9.035380	0	0.000000	0.584000	0.534507	
450	0.417778	550	0.712727	9.035380	0	0.000000	0.580000	0.534597	
443	0.282167	557	0.705566	9.035380	0	0.000000	0.518000	0.534564	
439	0.328018	561	0.721925	9.035380	0	0.000000	0.549000	0.534593	
449	0.258352	551	0.700544	9.035380	0	0.000000	0.502000	0.534529	
451	0.345898	549	0.666667	9.035380	0	0.000000	0.522000	0.534504	
486	0.269547	514	0.667315	9.035380	0	0.000000	0.474000	0.534385	
444	0.146396	556	0.656475	9.035380	0	0.000000	0.430000	0.534180	
432	0.402778	568	0.730634	9.035380	0	0.000000	0.589000	0.534287	
430	0.213953	570	0.708772	9.035380	0	0.000000	0.496000	0.534212	
447	0.353468	553	0.679928	9.035380	0	0.000000	0.534000	0.534212	
446	0.443946	554	0.734657	9.035380	0	0.000000	0.605000	0.534350	
407	0.481572	593	0.686341	9.035380	0	0.000000	0.603000	0.534483	
447	0.317673	553	0.712477	9.035380	0	0.000000	0.536000	0.534486	
457	0.315098	543	0.699816	9.035380	0	0.000000	0.524000	0.534466	
428	0.149533	572	0.709790	9.035380	0	0.000000	0.470000	0.534341	
398	0.366834	602	0.599668	9.035380	0	0.000000	0.507000	0.534289	
446	0.356502	554	0.682310	9.035380	0	0.000000	0.537000	0.534294	
478	0.435146	522	0.710728	9.035380	0	0.000000	0.579000	0.534380	
425	0.404706	575	0.667826	9.035380	0	0.000000	0.556000	0.534421	
480	0.306250	520	0.682692	9.035380	0	0.000000	0.502000	0.534359	
452	0.362832	548	0.711679	9.035380	0	0.000000	0.554000	0.534397	
421	0.289786	579	0.663212	9.035380	0	0.000000	0.506000	0.534342	
451	0.299335	549	0.632058	9.035380	0	0.000000	0.482000	0.534243	
468	0.292735	532	0.703008	9.035380	0	0.000000	0.511000	0.534199	
440	0.400000	560	0.721429	9.035380	0	0.000000	0.580000	0.534286	
484	0.237603	516	0.682171	9.035380	0	0.000000	0.467000	0.534158	
461	0.154013	539	0.721707	9.035380	0	0.000000	0.460000	0.534018	
462	0.209957	538	0.758364	9.035380	0	0.000000	0.505000	0.533963	
433	0.150115	567	0.701940	9.035380	0	0.000000	0.463000	0.533830	
446	0.354260	554	0.723827	9.035380	0	0.000000	0.559000	0.533877	
444	0.351351	556	0.687050	9.035380	0	0.000000	0.538000	0.533885	
443	0.410835	557	0.675045	9.035380	0	0.000000	0.558000	0.533930	
474	0.312236	526	0.693916	9.035380	0	0.000000	0.513000	0.533891	
439	0.102506	561	0.632799	9.035380	0	0.000000	0.400000	0.533641	
416	0.500000	584	0.702055	9.035380	0	0.000000	0.618000	0.533798	
423	0.470449	577	0.707106	9.035380	0	0.000000	0.607000	0.533934	
485	0.080412	515	0.730097	9.035380	0	0.000000	0.415000	0.533713	
482	0.309129	518	0.640927	9.035380	0	0.000000	0.481000	0.533616	
459	0.381264	541	0.685767	9.035380	0	0.000000	0.546000	0.533639	
461	0.334056	539	0.656772	9.035380	0	0.000000	0.508000	0.533591	
438	0.408676	562	0.667260	9.035380	0	0.000000	0.554000	0.533629	
484	0.458678	516	0.717054	9.035380	0	0.000000	0.592000	0.533736	
416	0.093750	584	0.684932	9.035380	0	0.000000	0.439000	0.533562	
459	0.252723	541	0.674677	9.035380	0	0.000000	0.481000	0.533466	
455	0.380220	545	0.689908	9.035380	0	0.000000	0.549000	0.533494	
448	0.276786	552	0.697464	9.035380	0	0.000000	0.509000	0.533450	
492	0.270325	508	0.696850	9.035380	0	0.000000	0.487000	0.533365	
417	0.326139	583	0.679245	9.035380	0	0.000000	0.532000	0.533363	
396	0.439394	604	0.644040	9.035380	0	0.000000	0.563000	0.533416	
449	0.104677	551	0.682396	9.035380	0	0.000000	0.423000	0.533216	
453	0.421634	547	0.683729	9.035380	0	0.000000	0.565000	0.533274	
451	0.317073	549	0.714026	9.035380	0	0.000000	0.535000	0.533277	
461	0.268980	539	0.658627	9.035380	0	0.000000	0.479000	0.533179	
468	0.290598	532	0.684211	9.035380	0	0.000000	0.500000	0.533120	
465	0.391398	535	0.730841	9.035380	0	0.000000	0.573000	0.533191	
452	0.422566	548	0.673358	9.035380	0	0.000000	0.560000	0.533239	
440	0.284091	560	0.700000	9.035380	0	0.000000	0.517000	0.533210	
444	0.295045	556	0.687050	9.035380	0	0.000000	0.513000	0.533174	
449	0.469933	551	0.695100	9.035380	0	0.000000	0.594000	0.533282	
431	0.415313	569	0.688928	9.035380	0	0.000000	0.571000	0.533350	
458	0.449782	542	0.669742	9.035380	0	0.000000	0.569000	0.533413	
427	0.468384	573	0.738220	9.035380	0	0.000000	0.623000	0.533572	
450	0.368889	550	0.694545	9.035380	0	0.000000	0.548000	0.533597	
453	0.275938	547	0.731261	9.035380	0	0.000000	0.525000	0.533582	
417	0.443645	583	0.677530	9.035380	0	0.000000	0.580000	0.533664	
470	0.363830	530	0.686792	9.035380	0	0.000000	0.535000	0.533666	
449	0.407572	551	0.675136	9.035380	0	0.000000	0.555000	0.533704	
425	0.451765	575	0.657391	9.035380	0	0.000000	0.570000	0.533767	
458	0.484716	542	0.693727	9.035380	0	0.000000	0.598000	0.533880	
421	0.261283	579	0.715026	9.035380	0	0.000000	0.524000	0.533863	
467	0.179872	533	0.726079	9.035380	0	0.000000	0.471000	0.533753	
450	0.117778	550	0.705455	9.035380	0	0.000000	0.441000	0.533591	
471	0.352442	529	0.703214	9.035380	0	0.000000	0.538000	0.533599	
458	0.371179	542	0.627306	9.035380	0	0.000000	0.510000	0.533558	
439	0.259681	561	0.704100	9.035380	0	0.000000	0.509000	0.533516	
452	0.356195	548	0.677007	9.035380	0	0.000000	0.532000	0.533513	
432	0.210648	568	0.709507	9.035380	0	0.000000	0.494000	0.533445	
399	0.197995	601	0.672213	9.035380	0	0.000000	0.483000	0.533358	
456	0.493421	544	0.700368	9.035380	0	0.000000	0.606000	0.533483	
467	0.473233	533	0.690432	9.035380	0	0.000000	0.589000	0.533578	
429	0.477855	571	0.700525	9.035380	0	0.000000	0.605000	0.533701	
437	0.443936	563	0.667851	9.035380	0	0.000000	0.570000	0.533763	
472	0.487288	528	0.721591	9.035380	0	0.000000	0.611000	0.533895	
426	0.500000	574	0.710801	9.035380	0	0.000000	0.621000	0.534043	
435	0.485057	565	0.686726	9.035380	0	0.000000	0.599000	0.534154	
449	0.374165	551	0.700544	9.035380	0	0.000000	0.554000	0.534188	
466	0.309013	534	0.719101	9.035380	0	0.000000	0.528000	0.534177	
430	0.295349	570	0.670175	9.035380	0	0.000000	0.509000	0.534135	
411	0.350365	589	0.699491	9.035380	0	0.000000	0.556000	0.534172	
440	0.213636	560	0.660714	9.035380	0	0.000000	0.464000	0.534053	
416	0.331731	584	0.702055	9.035380	0	0.000000	0.548000	0.534077	
450	0.315556	550	0.656364	9.035380	0	0.000000	0.503000	0.534024	
444	0.162162	556	0.651079	9.035380	0	0.000000	0.434000	0.533856	
453	0.121413	547	0.680073	9.035380	0	0.000000	0.427000	0.533677	
448	0.354911	552	0.646739	9.035380	0	0.000000	0.516000	0.533647	
420	0.226190	580	0.701724	9.035380	0	0.000000	0.502000	0.533594	
465	0.305376	535	0.728972	9.035380	0	0.000000	0.532000	0.533592	
449	0.329621	551	0.702359	9.035380	0	0.000000	0.535000	0.533594	
404	0.225248	596	0.691275	9.035380	0	0.000000	0.503000	0.533543	
459	0.455338	541	0.728281	9.035380	0	0.000000	0.603000	0.533659	
485	0.344330	515	0.722330	9.035380	0	0.000000	0.539000	0.533667	
410	0.304878	590	0.671186	9.035380	0	0.000000	0.521000	0.533646	
419	0.467780	581	0.645439	9.035380	0	0.000000	0.571000	0.533708	
464	0.409483	536	0.695896	9.035380	0	0.000000	0.563000	0.533757	
455	0.312088	545	0.706422	9.035380	0	0.000000	0.527000	0.533745	
479	0.315240	521	0.687140	9.035380	0	0.000000	0.509000	0.533705	
460	0.330435	540	0.661111	9.035380	0	0.000000	0.509000	0.533664	
439	0.291572	561	0.696970	9.035380	0	0.000000	0.519000	0.533640	
446	0.262332	554	0.703971	9.035380	0	0.000000	0.507000	0.533597	
450	0.208889	550	0.723636	9.035380	0	0.000000	0.492000	0.533529	
428	0.128505	572	0.674825	9.035380	0	0.000000	0.441000	0.533378	
429	0.473193	571	0.690018	9.035380	0	0.000000	0.597000	0.533481	
443	0.363431	557	0.709156	9.035380	0	0.000000	0.556000	0.533518	
454	0.455947	546	0.703297	9.035380	0	0.000000	0.591000	0.533611	
450	0.197778	550	0.712727	9.035380	0	0.000000	0.481000	0.533526	
468	0.273504	532	0.672932	9.035380	0	0.000000	0.486000	0.533449	
453	0.300221	547	0.683729	9.035380	0	0.000000	0.510000	0.533411	
